ID,Mass,RT,Col-root-NL-0V,Col-root-NL-5V,Col-root-NL-10V,Col-root-NL-15V,Col-root-NL-20V,Col-root-NL-25V,Col-root-NL-30V,Col-root-NL-35V,Col-root-NL-40V,Col-root-NL-45V
4253,769.2216,5.75,68519.73691,52727.04924,52929.4789,27665.07972,14626.0823,11591.38279,1,1,1,761.0558466
4254,411.1752,7.35,91378.926,55124.0412,61192.27182,48956.26223,21956.35606,8819.339292,7825.946433,4456.102011,3852.634973,1943.540143
4255,100.0311,6.55,3051.539192,5551.919237,12802.43516,33292.55704,50697.23894,52248.5519,49555.69703,41710.78398,54790.14346,82679.4632
4256,588.9055,16.09,46607.21522,42151.833,36657.59853,7046.62944,1,1,1,1,1,1
4257,342.1105,5.45,61412.69186,37181.59518,20630.38664,1,1,1,4191.286018,3077.965049,1995.015193,1
4258,216.1517,9.44,23267.28343,30759.29346,75078.44843,117256.7695,118453.1755,98169.80815,72435.3363,64344.41087,51067.97078,43738.77325
4259,425.231,7.2,76107.02176,72844.09033,66940.11686,63740.65628,67001.47253,48643.70181,26990.04808,11319.48756,6791.462674,5731.243498
4260,821.2509,9.73,30909.56836,33327.58422,26303.91905,35839.81482,25544.97831,9270.975766,2671.066727,1,1,1
4261,324.2297,14.14,74028.62981,68253.50257,50194.28144,34200.82345,27400.95057,1,1,1,1,1
4262,730.2287,3.28,71292.10034,50703.47174,13996.1696,508.4996284,1747.483631,1554.312172,2683.133348,1990.772753,1889.329004,2237.319409
4263,804.4993,16.39,75234.71823,64492.70373,67615.51466,53119.83966,65713.21734,30419.00059,43100.88117,54808.70422,38448.15625,29619.92081
4264,340.0102,16.83,1,1,6093.873791,17346.88377,28850.97658,62581.08213,85996.67976,76923.91643,64015.09169,42212.56944
4265,798.1588,3.27,69380.71957,46971.52354,8311.556467,5405.125804,667.2049346,218.4670952,1,1,1,1
4266,410.1158,2.87,1,42319.02895,55528.00806,47419.77733,1,1,1,1,1,1
4267,558.3896,16.16,95704.13874,88483.21605,91290.02,93838.29921,88116.37332,76677.18087,49352.58493,25371.76646,10997.33859,11373.85611
4268,356.0599,15.94,17740.91733,51253.5379,81531.44588,70645.76731,82519.77658,96228.33427,65248.87941,31691.14604,16731.28884,1
4269,599.4598,14.57,102029.0475,97429.22713,90970.00357,68084.22223,27255.34485,1058.175773,1,1,1,1
4270,183.057,0.88,22759.81877,99504.18867,28499.65819,131907.6693,59526.20083,70824.83634,83451.97371,93025.17897,93971.25701,112531.596
4271,146.0971,0.95,62544.9659,1946.801719,1,1,1,1986.559214,2643.617476,2104.936399,2089.797169,1
4272,244.0385,1.52,72822.12949,69284.92449,39901.53812,12890.17672,1,5710.866222,12658.0818,2599.923896,3436.271333,5606.284805
4273,274.2301,17.07,7391.24666,7402.714283,13020.34217,59346.25398,88411.35076,67286.49773,34359.32939,18827.41241,11304.05068,6815.172383
4274,310.068,3.52,150418.069,106336.1235,77403.12471,1,1,1,1,1,1,591.6328024
4275,102.0317,1.43,95248.25182,97800.9472,71968.50694,19299.97578,3634.578723,1,1,1,1,1
4276,202.1321,1.64,87590.42906,788.7278094,727.988741,1,1,1,1,1,1,1
4277,680.2097,6.69,1093.206096,1,1224.193627,1425.212114,2142.869851,70184.03787,88645.73772,118823.7411,34302.73513,41062.80203
4278,226.0481,8.5,1,1,1,17274.38832,65361.55151,97814.81912,85991.99664,38874.03421,14580.78995,4518.841395
4279,383.3033,14.03,76383.93588,21753.10924,1,1,1,1,1,1,1,1
4280,315.2777,10.67,25230.32247,28964.22373,26607.96492,20764.26345,6113.886419,1689.656151,1,1,1,1
4281,534.1736,5.72,1,1,1,1,1,1,1,27976.89932,35480.51409,1
4282,459.2625,11.71,125521.6289,80102.73811,14554.61241,1993.759364,1,1,1,1,1,1
4283,897.6379,17.27,38369.08377,12214.25794,40568.58301,39361.87632,33004.70595,35770.91195,24948.70068,9372.601177,1,1
4284,326.2934,14.61,18401.26459,19641.68414,10484.94276,3070.49133,1,1,1,1,1,1
4285,597.4392,15.72,100102.7394,64069.7342,25615.71034,755.4443936,1,1,1,1,1898.315846,1
4286,406.2334,9.96,22789.67553,24319.25781,36731.0803,27249.50676,18956.2643,4590.229888,3863.694974,1,202.2492241,1
4287,741.5606,17.52,77132.73471,77902.07961,65744.38751,66042.88015,46631.79263,18464.20384,1953.421827,1,238.9842713,1
4288,413.3141,15.92,56250.55415,22513.09368,1,1,1,1,1,1,1,1
4289,372.0914,16.82,23570.33408,70300.0636,79384.87299,84443.58936,69194.08407,26975.15469,4779.120406,3917.536362,2823.806943,1
4290,729.6748,17.82,1,1,27007.3573,1,1,1,1,1,1,1
4291,136.0526,4.91,57481.05679,162273.435,181713.5248,119210.0686,328392.4561,297668.5295,1,1,1,29538.84587
4292,358.1422,4.78,15058.34228,61166.75563,85874.63425,30021.8808,1006.602374,2242.692781,4654.964287,957.7341433,1,1
4293,340.0793,2.81,74627.35344,79210.4736,60267.76018,98951.26883,70378.87568,1,32118.10097,362537.1454,1,1
4294,526.1305,3.64,75822.04836,93114.95981,77746.3157,77970.3076,56796.14649,27613.41703,5063.825581,1,1,1
4295,274.1937,16.18,13956.25068,29388.98431,79887.4654,103480.1442,63934.73978,21558.3216,4797.257496,1,1,1
4296,1032.1841,3.1,117392.7583,111219.2007,105986.3494,103830.9702,103172.9373,97882.93483,81053.03976,67156.26271,56233.34238,54351.29606
4297,778.1683,3.63,1,1,1,65444.7725,102934.9385,155674.679,140826.102,140709.0185,111816.7985,97226.03482
4298,796.4362,13.72,55936.10113,72460.80494,67029.10483,60178.29622,67051.0232,64995.71534,61759.62771,62865.80516,57347.33399,46330.52115
4299,764.1851,3.23,69304.72819,41000.63438,1,23523.05052,16151.22986,14745.72441,1,1,1,902.0343781
4300,594.1586,4.14,1,66197.0543,1,32297.85614,1,1,1,1,1,1
4301,206.0253,9.53,22799.95665,37317.97275,95223.34938,110654.278,91555.5551,70012.30405,28923.7268,15562.9906,4666.998541,1760.203311
4302,666.445,16.9,30111.41198,46328.16426,52384.70584,56804.29796,62732.74946,35455.49069,42129.47576,32711.51228,31188.85502,1221.225921
4303,202.1322,2.2,74268.31756,50787.20024,15492.79133,7209.436095,8509.190763,6276.896478,416.5864302,1,1,1
4304,390.1515,2.35,90097.81604,74984.42938,77467.6299,72421.68606,51140.89094,29150.69797,24970.40607,16023.89757,14617.58068,13792.7549
4305,339.3502,19.81,61624.65243,86211.82712,76390.32,80862.32115,117763.6206,52045.51688,23524.74671,4349.69836,2633.017032,1394.167983
4306,169.9207,0.8,10784.03214,31897.90401,98634.45309,78953.46757,75069.51969,81643.55877,87371.71863,97787.55255,111261.9063,118846.1776
4307,571.759,6.11,85330.50641,109669.4567,117762.7791,104984.2044,94585.39983,61146.27991,48210.51525,26707.47129,4307.410438,1
4308,390.2171,13.03,55119.74329,52614.12524,27940.86843,21779.31607,21268.48337,6971.860692,2869.93562,770.2144293,1,1
4309,392.2539,12.81,77715.22884,1,38299.3504,55629.12991,43024.72914,1,1,1,1,1
4310,483.0919,7.34,44128.57299,75998.2659,96679.01196,57231.57304,32208.07548,13260.45385,1654.016967,1880.885877,1,2931.361772
4311,162.141,12.3,1,1,1,9207.089225,24044.16335,65702.82075,86035.15668,86488.49157,45270.02923,31113.22035
4312,392.1488,8.49,33839.12451,10729.64151,1,474.565536,1,1,1,1,1,1
4313,696.4278,3.78,90556.79069,84152.8298,78255.84979,73685.57211,52229.44913,58672.56899,47825.35,45420.57544,35341.59036,18421.24416
4314,786.5097,17.35,28407.66317,25670.63673,21186.21126,1,9725.020658,19992.73429,25176.34005,23519.66719,24439.75228,19325.97803
4315,936.5768,21.25,35946.50036,777.9274143,42111.10141,41383.66497,48378.04982,46054.15163,33222.6248,37582.66929,39963.12419,10758.01199
4316,959.6744,16.41,21536.65374,1,14044.76327,35707.91375,41080.58832,9283.87363,1,1,1,1016.443415
4317,186.0254,4.47,63011.78179,91869.43146,83676.8533,88904.81306,98634.91708,78166.33199,74193.22126,65494.24139,60541.46716,66438.15304
4318,984.2034,4.56,95230.48739,117541.6176,114672.2571,121348.3334,93978.8708,57211.75116,35130.37974,22236.83331,15396.68474,3986.927596
4319,493.5591,15.94,117624.9389,117114.1934,126536.9455,145979.8617,120535.2021,130074.566,139588.7409,116428.4136,97111.71776,60075.6915
4320,252.1888,14.2,3317.387361,7384.112845,12861.91504,40792.65929,60886.033,86398.76916,80690.97689,88207.76774,79313.52957,62862.86657
4321,846.1385,2.74,135859.5539,148899.5759,112264.2448,99097.84526,17517.55246,16297.91332,44406.86744,31001.98735,22998.56023,12600.08711
4322,548.2431,15.68,41691.59562,8046.237245,1,1,1,1,1,1,1,3377.494758
4323,201.1845,0.9,113932.0015,51061.09872,38933.39713,1,1,1,1,1,1,1
4324,340.2252,13.54,72891.4497,58566.65232,39010.95394,49572.52058,16459.63403,6276.901321,1,1,1,1
4325,715.5438,15.87,54840.61523,67179.16453,60082.11796,66855.78715,36143.00733,5864.045682,1,7451.899347,10117.49358,4249.917824
4326,315.2929,12.33,97099.71855,94065.76962,104802.5709,109352.7135,109852.4983,100005.422,97800.44507,76804.08213,48062.98215,19688.14964
4327,109.0894,11.9,32891.63621,35319.54634,69577.50712,116783.4732,114559.0303,71511.89439,41530.73575,19757.49046,8686.964739,872.0339542
4328,364.0774,4.47,59051.61838,70094.43968,66293.83007,43383.58165,6373.828686,9098.617754,5976.34965,3414.691601,8082.679389,3220.872629
4329,946.4939,14.31,139788.826,117330.7553,95614.8924,88453.18503,88588.42915,58593.51277,90372.92568,69794.48429,19658.71481,5685.84125
