ID,Mass,RT,Col-root-NL-0V-3,Col-root-NL-10V,Col-root-NL-15V,Col-root-NL-20V,Col-root-NL-20V-2,Col-root-NL-25V,Col-root-NL-30V,Col-root-NL-35V,Col-root-NL-40V,Col-root-NL-45V,Col-root-NL-5V
4395,427.1779,16.47,101777.5575,8589.018026,1,1,1,2195.131999,1,5327.483845,3581.387909,1,10461.40025
4396,464.2538,21.31,84535.76487,36433.5869,40730.78728,14906.27055,9440.070218,4042.985839,1,1,1,1,79211.78251
4397,636.1253,12.7,1,1,1,952.0474004,826.0817001,1314.988925,21638.42594,44802.28445,75744.89997,93037.70198,1
4398,520.1921,5.35,41072.90864,181658.1483,1,1,1,1,1,1,1,1,1
4399,633.3997,13.66,30542.64842,35901.32378,37920.92874,28875.6352,34323.27937,27362.85278,20938.21082,15740.82438,14326.46637,10302.70473,32835.96031
4400,356.1236,4.55,32180.55218,25596.18706,8866.271761,4965.937693,1,1,1,1,1,1,29233.50257
4401,860.16,3.43,37612.80727,14893.35921,3580.377907,7956.243359,9385.855209,6993.850633,2948.317147,807.2399201,907.8115571,1,33003.21622
4402,268.2046,7.99,1,1,3473.82476,23169.18669,24897.73235,56132.90356,72833.6366,70431.76213,50538.41933,28377.8122,1
4403,730.1323,5.02,82534.49489,1,1,1775.614885,1,1,1,1,1,1,35925.80772
4404,683.3552,4.9,51816.58847,35725.25312,13234.0326,1,1,1,1,1,1,1,41648.55132
4405,584.1709,5.65,69667.68272,9543.464385,6139.118653,1494.84112,5044.61988,1,1,750.5801712,1,1,43414.73648
4406,888.2677,4.86,69396.25366,32391.0914,16294.26176,5773.687354,8668.636607,1372.440499,1,1,1,1,72492.60912
4407,219.1282,5.37,49701.06072,28980.15389,1,5719.016857,10364.81609,6042.203757,6317.322932,6649.885266,5899.139828,1,15955.24043
4408,186.0796,8.39,46297.54228,1,1,1,1,1,1,1,1,1,7332.363234
4409,414.2158,14.02,1,1,1,1,1,1,1,1,1,1,1
