ID,Mass,RT,72e123-1,72e123-2,72e123-3,72e123-4,72e123-5,Col-1,Col-2,Col-3,Col-4,Col-5
5027,908.5464,16.95,43866.71157,12220.26116,9997.050304,15372.81736,16983.86358,13461.44782,18222.56205,14750.88463,13263.0688,26854.62781
5028,195.0873,4.19,1,27945.35172,31342.32885,1,1,1,31708.80334,1,1,1
5029,159.0687,7.68,13816.55217,24162.71681,22500.06698,21468.44667,22898.46978,23185.8636,13427.37358,26250.69491,25813.64111,23629.41052
5030,398.1435,11.72,1,1,1,1,1,1,1,1,1,1
5031,486.2172,16.47,27729.08463,16404.04391,24805.4899,16138.63576,30086.36458,26862.93682,25424.27876,28955.17944,31149.39908,31657.9386
5032,326.061,3.41,1,1,1,1,1,4365.027369,1,1,1614.901532,2169.29332
5033,366.1426,4.58,44400.62801,60937.01066,47826.61296,45704.64244,44048.3604,49607.65455,48883.97297,53587.79212,37509.20419,49524.28491
5034,562.264,12.3,127390.0537,62708.446,58880.31838,97493.47512,113931.6691,124786.0058,151100.9892,38532.77291,32857.61356,103799.3766
5035,350.9932,11.64,14630.32609,27545.4799,32931.54392,37091.49412,30645.43624,36167.39182,14801.32933,36380.97898,52385.92693,60649.84197
5036,1076.5043,4.39,3915.952649,31929.61967,25144.17423,69933.27418,32407.75845,26923.56696,1469.865998,6908.484229,3644.815697,7986.63215
5037,191.0587,5.44,1,1,1,1,1,1,1,1,1,1
5038,537.243,12.3,17665.16118,50202.69768,49051.90146,59445.1313,47062.07999,53667.47534,25310.27062,43062.17805,38031.05173,68019.94341
5039,292.1888,8.24,23096.38025,13005.65755,19043.52917,10262.52337,13301.92695,38531.08569,29790.4692,46316.06188,30159.50773,19933.39192
5040,428.0988,2.75,40755.80545,44235.0976,33491.76221,40043.51676,43225.49508,18257.00216,40887.646,44492.05455,24680.89994,26569.3947
5041,742.1999,6.84,47757.05631,38430.50016,30922.33391,52927.40486,42879.16147,62539.69232,55620.3413,72701.94921,65191.52788,64647.55819
5042,447.2401,10.45,60457.61553,2421.660788,1553.660148,8777.483376,19444.80783,21193.04839,45031.45906,5140.518607,1010.399281,8068.341498
5043,964.4382,13.68,72274.49402,104804.6046,89770.01793,112044.4816,1,135554.4367,56061.46874,128304.8548,106325.7981,108841.7462
5044,786.2219,3.55,38061.91501,45494.34346,36617.71073,31693.72424,34955.85847,34119.13438,45184.04232,44911.63021,43781.79623,36206.98553
5045,326.1011,2.08,1,1,1,1,1,1,1,1,1,1
5046,461.1838,4.11,27071.5587,10113.78417,20189.44799,20727.91136,7632.748535,31228.16046,44023.98973,16758.2719,32837.99541,43077.04702
5047,806.3183,7.65,16062.6402,8996.784501,30018.09619,8529.584615,2054.625787,41809.44703,46298.89245,79479.33717,28685.13009,17976.29489
5048,599.2875,8.13,70043.63005,42402.37499,52801.7504,68852.00608,57398.92466,78102.63039,78616.49606,76517.95008,74099.63831,70389.82738
