ID,Mass,RT,72e123-1,72e123-2,72e123-3,72e123-4,72e123-5,Col-1,Col-2,Col-3,Col-4,Col-5
1,446.2421,13.06,156439866.4,358876043,380373412.3,213282295.7,188787749.1,362698128,171021186.8,420804817.4,449834489.1,299195164.5
2,446.2451,13.2,63814230.87,1,1,99871293.74,84946426.15,1,72471109.89,1,1,1
3,446.2442,13.06,1,263978111.2,1,177497587.7,159893881.2,1,142126334.2,1,1,222535832.6
4,448.2605,14.32,1,1,1,1,1,1,1,1,1,133641950.1
5,278.2259,13.05,1,22307626.08,1,11647447.6,1,23128210.83,1,1,11466628.04,20151501.42
6,477.1166,6.37,84592101.17,44663914.66,64251920.2,48459105.3,55570970.06,65620130.62,82350983.36,57840288.34,68129777.22,63810737.43
7,478.0722,4.43,79984052.67,48815068.68,58685024.66,39161507.57,53601931.62,67139335.92,85445512.46,61918532.65,68993282.87,66161816.69
8,446.2497,13.06,1,1,1,165178070.5,155606891.6,1,134506149.1,1,1,196809247.3
9,446.2715,13.03,15351.55738,1,1,16659.61101,1,1,14029.57554,1,1,8706.505946
10,388.1375,2.94,296820.5167,350379.4919,354518.8593,274541.2447,336607.2871,26825810.31,25891858.45,27634311.9,28051507.49,29079425.24
11,434.2432,13.7,33846927.1,15838221.41,22772157.6,36554383.79,28286374.45,34810796.69,32471363.53,33516586.12,28496781.41,38670995.5
12,279.2287,13.06,1,4439066.533,1,3348167.189,1,4252396.756,2249740.054,1,1,4543452.187
13,897.5209,14.28,1,1,1,1,1,75153054.46,1,1,1,58240695.65
14,450.2757,20.08,1,1,66592942.44,1,1,51615313.32,1,1,1,1
15,432.2281,12.68,30081435.38,15390869.87,14925356.55,33419004.97,23397757.89,25673338.03,26212233.54,24048527.5,22467991.96,35072248.41
16,477.2862,12.3,29238324.88,8601352.325,8128809.145,15893707.23,17080213.8,14063317.24,27480173.75,5697807.466,4397055.5,14340369.05
17,610.1542,3.96,30738959.73,28744144.01,29150715.04,30577638.74,29217488.66,27811218.4,29325547.92,29517839.38,28843820.53,29583167.09
18,896.5175,14.57,1,1,1,70853809.97,62547865.42,1,40996794.2,1,1,1
19,282.2565,20.1,1,1,1,1,1,1740273.585,1,1,1,1
20,449.264,14.71,2079359.243,1,1,1,1,1,22833622.67,1,1,1
21,422.2445,14.07,1,27582881.47,27051026.34,1,1,28288349.13,1,27298263.32,26633243.83,15064273.18
22,422.2439,14.06,1,1,1,1,1,1,1,27134169.78,26575866.85,1
23,449.2634,14.28,1,78265544.16,41268110.21,88416.87022,1,91158646.89,1,1,1,58156426.49
24,475.2709,11.58,28249301.78,5876820.385,5686671.319,13698158.95,13731692.26,11796482.05,26352323.97,4157692.006,3587235.524,11098626.28
25,837.5947,5.56,9891720.564,9191385.519,9637765.548,9661762.75,9690363.874,32907527.58,9675626.643,4623197.206,5139469.402,5885706.104
26,724.5099,5.28,10930133.44,10057443.26,10594801.15,10931123.71,10571904.09,33148025.38,10862372.94,5056595.653,5672819.153,6680086.419
27,594.1593,4.31,20070570.68,22196922.88,21811093.72,23667671.16,21926474.94,19616974.25,17726378.13,21505027.56,20374621.55,21020286.09
28,154.0029,13.71,1144387.296,535984.6002,602676.5298,1233277.425,962313.8869,1029602.385,925102.3255,999154.8517,900404.6946,1290771.653
29,493.1126,3.1,25904470.86,14654045.67,24593170.74,11451355.35,14415286.39,19954076.46,23379332.28,17066041.15,22009283.73,19254277.39
30,154.0033,12.68,1094305.296,525632.329,522666.6596,1326853.407,882084.2733,909108.4514,875188.4379,829747.8136,829274.1949,1298084.788
31,450.2751,20.15,1,7557288.681,66263414.84,1,1,1,1,1,1,1
32,280.2403,12.3,739316.5314,229814.0115,226857.4196,413661.953,465844.0054,310576.2805,630035.0155,151879.3303,102707.1494,343756.0926
33,447.0545,4.44,8753964.144,4573134.847,5863509.141,3572776.745,5269266.895,6689575.259,9016905.526,6083709.81,7110247.476,6875962.837
34,278.2255,13.05,1,22145391.64,27204274.93,1,1,23128210.83,1,31182192.07,11466628.04,20151501.42
35,896.5185,14.75,32964356.16,1,1164056.294,1,1,1,40993358.15,1,1,1
36,740.2164,3.64,16896424.66,17427270.91,16597126.24,15732318.9,16152318.93,14921671.1,15622923.52,15731779.86,14777557.66,16413059.53
37,422.2436,14.2,10346468.86,1,1,17692158.68,14985906.79,28045804.29,12373041.11,1,1,5587766.509
38,254.2252,14.07,1,2180642.489,2270915.258,1,1,1992883.379,1,2193654.855,2268720.765,1035272.078
39,282.2573,20.19,1,1498608.664,2309590.587,1,1,1,1,1,1,1
40,914.4683,13.05,1,15587256.99,15618405.79,1989974.987,1,4530553.242,1,1,1,7086862.453
41,450.2657,14.22,73639.11363,14249808.11,15408024.01,87282.24849,51356.26558,14705159.02,41865.62015,382073.5267,1,38553.6247
42,254.2245,14.2,915663.2218,1,1,1467268.399,1081747.916,2009859.566,996624.4718,1,1,940586.8179
43,950.6797,5.78,4785349.348,3978979.05,4514390.936,4543038.584,4486968.849,16818680.67,4529159.007,2665993.708,2990025.296,3119377.783
44,278.2255,11.58,653844.3401,144221.7668,144641.1971,333776.7908,342656.0222,254597.8964,572412.457,115918.1483,87015.72742,269893.4179
45,447.0927,3.96,1,1,1,1,1,1,1,25714.74802,1,1
46,450.2648,14.27,58011.29196,12757638.52,13497565.18,62299.39786,29633.76049,11744181.18,33199.55422,277306.8256,1,4522356.47
47,463.1003,5.49,14805718.05,5977251.461,11118495.55,6728696.068,8196202.142,10127351.29,14806080.87,9208194.901,11770006.86,10777828.77
48,594.1618,3.64,1,1,1,1,1,1,1,1,1,1
49,300.0265,3.98,14717.24612,14359.67993,13750.70036,16976.10778,15397.95709,9307.274171,1,2821.441011,15008.22028,15362.94106
50,335.1007,6.55,4348796.849,6690382.911,4742252.415,7520212.551,8109284.66,6311305.15,4552381.127,7312087.042,6396159.61,7565698.271
51,464.1531,5.07,8416948.101,9303389.795,7839948.519,3907975.47,9349841.668,9786005.398,10240475.1,9243984.743,9651910.775,11829529.38
52,478.0721,3.74,12513507.54,8219946.834,11850961.95,5889889.102,6414908.47,12227210.74,13476026.09,10997583.35,14182966.66,12464247.59
53,278.2244,13.21,10806522.81,1,1,11649022.38,14132105.02,1,10898331.91,1,1,1
54,918.4995,14.34,1,1,1,1,1,1,1,8572.19043,1,3299449.524
55,611.4265,4.9,3857024.616,3696825.985,4171063.517,4710297.551,4112068.005,13894923.09,4024982.976,1836742.207,2089980.802,2450737.498
56,484.2806,14.52,12145509.14,1,1,3900277.792,4770113.597,1,12155514.44,1,1,1
57,508.2811,13.26,12145605.46,7796880.139,6981119.829,4689801.626,5625892.469,6252170.405,11238086.11,6379774.633,5675832.584,4613018.428
58,756.2132,3.4,7583027.837,7042847.32,7433942.382,6731414.531,6458630.918,7117497.325,7276004.22,7242307.48,7015677.736,7926549.483
59,565.3392,12.35,11733866.84,2332846.594,2476096.394,6648136.704,7247364.374,5862658.993,10841091.59,2955324.516,2550170.863,5389098.227
60,418.1482,3.16,21015.97404,23291.66379,24765.43436,16072.24302,20492.59563,9370854.488,8614451.296,9650950.133,9715164.022,9960682.314
61,563.3233,11.63,11159529.13,1659268.751,1835482.193,5306599.132,6435969.96,5082504.955,10997033.17,2258229.521,2122724.341,4821348.181
62,284.0311,4.31,11299.84674,10380.56443,12022.86808,10575.79316,4329.168398,2887.771231,8177.724703,1,11959.0495,1123.061829
63,740.2165,4.26,6823247.376,6949307.709,6746060.228,6154807.377,5993993.93,5870205.444,5811726.998,6328897.731,5686533.302,6378650.342
64,304.0803,1.88,1005275.71,657391.912,286558.0142,1954688.94,1192935.672,7344159.561,6789544.556,5616685.754,8603287.464,8722536.83
65,791.5871,5.57,45528.58546,50006.80581,48300.04526,47033.29093,51170.80247,140731.802,52867.45076,22673.11225,32456.09938,34397.54527
66,286.0483,4.3,1,1,1,1,1,1,1,1,1,1
67,678.5045,5.29,94751.98541,83421.6142,83355.10428,93421.53867,90141.82704,223692.9087,79310.08857,49450.44499,52566.79221,56841.37554
68,424.2609,19.53,1,1,1,1,1,1,1,9585620.318,11093670.08,2301.819763
69,116.9281,21.39,10971693.78,9635236.198,10981225.46,10974180.79,10133448.96,7953991.568,10521920.11,13980045.12,9467605.051,12459632.07
70,431.0981,4.31,37181.74606,39227.7561,25852.27565,42952.1983,20808.17367,27815.77714,16821.2099,37569.50294,35881.81915,29602.57503
71,194.0587,2.9,24714.8738,22396.12079,26429.20752,20407.62923,26443.42579,466313.3585,399079.2395,538767.3896,470237.9855,477665.5753
72,976.2146,6.37,10491615.31,5019501.107,7970809.814,5693155.288,6730879.367,7909043.584,10114660.5,6991431.559,8406038.114,7769121.641
73,186.0292,13.04,1,652050.9541,1,1,1,561269.6583,1,1,1,504975.5433
74,180.0792,2.93,17311.54315,14752.61014,19194.69847,13823.30089,12506.96637,1102638.647,1009944.767,1097431.953,1077005.503,1139161.477
75,116.9332,21.39,9187113.57,9215100.734,9559998.82,9123210.975,9645571.56,8346987.735,8973025.831,9080669.304,9082466.231,9275034.208
76,450.2753,21.25,2738220.392,2915017.056,3097750.153,12841548.19,11571897.29,2427373.874,8953454.901,793437.4669,847890.4217,7784023.635
77,624.169,4.39,2358699.555,6958213.179,4827692.587,9106498.915,5962893.564,2644927.485,1906553.887,4287919.184,2384044.439,3353473.904
78,342.1321,2.93,1,1,1,1,1,918227.3508,750757.272,917649.1632,987316.1878,1004031.785
79,111.9924,13.07,1,97742.06598,108263.7294,1,1,17160.54208,1,15024.51249,159301.2054,1037.116295
80,162.0536,1.44,6780188.117,6296188.195,6404730.705,8574590.638,6860111.312,8173274.593,8131899.506,7080187.535,8662974.651,8397166.459
81,448.0627,3.05,7359199.82,3042840.823,5548901.915,3136408.639,3400549.543,6454527.32,8366616.182,5724245.177,6949936.707,6765304.196
82,978.1269,4.47,7196374.069,5018790.709,5765080.236,4010681.913,5483225.03,6166188.209,5995791.323,5860450.467,6474609.46,6124126.743
83,548.1839,14.27,2384.965052,1474302.835,60673.85695,1,1,3298387.911,1,204742.4016,270352.8532,1
84,790.2699,6.75,6702601.208,3594936.764,3169252.936,2205386.098,3735027.418,6804504.439,6797537.233,6579684.238,3129155.614,4548546.038
85,450.2649,14.86,8365728.006,1,1,1,1,336041.1314,328269.3602,247543.8281,238276.8722,1
86,506.265,12.29,8199652.686,6117403.777,5911669.219,3491621.153,3552724.872,5474865.711,7979997.962,5624302.98,5108537.976,3730379.533
87,358.127,2.64,395111.529,428893.6452,352534.0874,270647.5371,404279.0501,652371.4996,638002.6151,675160.5417,626017.2152,669479.0661
88,756.2118,3.9,4441483.761,4174731.159,4090738.273,3733425.284,3827975.104,4047386.04,4488921.853,4418194.624,4161965.444,4725402.213
89,192.043,3.28,1803668.02,1832555.248,2415513.487,1589318.19,2023797.674,2827766.534,2405654.018,2657253.88,3154046.864,3226323.528
90,302.0463,3.96,1,1136.253471,1,1,1,1,1,1,1,1
91,342.1121,8.18,1387828.14,4040806.836,2191136.724,5438995.062,6101283.141,1950525.01,1028704.016,2773584.425,2028888.13,3608020.577
92,484.2802,14.24,1,5594313.659,1,1,1,5123871.811,1,1,1,4196856.353
93,424.2605,19.87,1,1,7289663.264,1,1,7985967.58,1,1,1,1
94,400.1015,3.28,3406683.51,3502463.632,4633984.704,3022240.539,3810621.474,5277262.503,4383656.272,5024329.561,5994489.347,6096217.926
95,464.1532,4.91,2691486.741,2757952.692,2712584.448,1594665.166,2305136.337,2643507.775,3341782.354,3458730.719,3487197.793,4065440.774
96,714.4819,5.29,3990085.312,3743730.278,3892524.428,3986952.214,3793112.809,7059729.354,3996824.799,2535470.801,2696490.699,2927559.09
97,424.2605,19.94,1,7325979.599,7488389.478,1,1,1,1,1,1,1
98,448.2591,16.35,1373468.529,5605248.785,5402572.293,2018670.961,1604146.511,3610831.915,1389155.926,3846344.742,5016323.758,3165637.605
99,340.2409,15.3,3671948.587,4262494.316,3283972.446,4605932.469,4924344.144,2402308.48,5131319.405,4759231.914,4837901.555,5018383.816
100,285.0407,3.64,1,1,1,1,1,1,1,1,1,1
101,280.2393,13.24,1,36172.93336,24087.22481,3317.248121,33122.78293,1,95069.86795,36035.98058,1,27637.27157
102,505.3163,12.35,918780.9623,342757.3801,363124.3069,498212.1762,525870.7323,472202.7036,830781.3484,167297.6789,325302.0407,386982.9004
103,330.1468,4.8,147403.2102,146285.8721,133737.5948,95184.64409,149927.2952,397948.6135,372300.5741,447232.2011,452312.5377,496393.8024
104,522.21,4.8,909952.5391,965335.1873,978760.7172,674417.335,1031317.779,3040797.348,2702164.841,3193041.002,3156691.852,3359072.941
105,552.1855,6.8,4748221.258,5332265.893,4327009.135,3047033.416,3881228.008,4742062.08,4784760.705,4502882.858,4632685.188,5667939.803
106,827.5655,5.56,3403417.228,3169029.262,3302112.265,3260188.275,3304453.234,5889948.805,3371675.337,2151396.887,2340855.296,2548644.418
107,596.2977,12.41,3702274.697,5378305.326,4461872.402,2069036.892,2211773.772,3531385.142,3312304.194,4055177.298,4091115.585,2636214.482
108,256.2402,19.88,1,1,360193.6645,1,1,245799.6311,1,1,1,1
109,420.2287,12.7,1066787.053,3853631.012,3819200.084,1443550.953,1517175.917,3511364.476,1291303.724,4239187.715,4428991.235,2274139.039
110,447.0937,3.41,1,1,1,1,1,1,1,1,1,1
111,164.1202,15.3,64312.12471,80329.02964,66358.56745,87431.729,90106.26804,41282.66857,80817.81816,81536.18613,85942.86712,89655.54367
112,503.3011,11.63,672472.4986,107496.3295,114822.849,368577.9586,416011.792,296574.1379,547123.296,136517.6578,127962.4551,291382.014
113,904.6709,5.78,36711.33854,35147.97554,40971.53688,36068.61453,36653.18291,102047.8289,38398.75362,18642.01447,22334.10179,24318.50243
114,135.0447,2.89,478.5291058,1706.464705,1,1,1278.489915,24543.26879,17185.01292,25371.63949,23954.51268,26031.89024
115,163.9477,0.91,653862.6691,1551830.126,1482420.211,1672656.57,718884.3711,592821.229,713647.694,1531225.937,633609.0595,622523.3488
116,480.2586,7.67,4294510.331,3733574.364,3992791.671,2676674.945,3200322.112,3631954.349,3613199.466,3886118.576,4119832.01,2228396.159
117,578.164,4.75,3803160.938,3684910.421,3754087.351,3201264.372,3145460.336,2989863.984,3345798.95,3081213.866,2907234.618,3276391.194
118,448.1016,4.32,1,5094.092387,1,6409.636282,9746.535482,1,1,1,1,1
119,548.1842,14.37,1,1,1,1,1,1,1,1,1,1
120,424.2589,20.22,1,1,1,1,1,1,1,1,1,4053363.083
121,930.4076,4.41,748956.2393,623843.4737,1009306.853,685938.7677,791505.6262,4773635.225,760019.0892,422534.2418,527334.0803,587577.938
122,275.0794,6.55,2484133.003,3709277.647,2835522.99,4113707.233,4331519.097,3577975.947,2616959.322,3891300.925,3509808.835,3980540.605
123,870.4924,14.05,1,2771920.803,2871745.748,1,1,1,7059.764957,4153706.045,4446809.283,1
124,545.1041,6.45,1504775.646,2963373.668,3378983.188,3044519.928,3103351.031,1038162.571,3696031.149,3318312.377,3326562.965,3321425.709
125,450.2651,14.88,8365728.006,201674.4017,80305.95605,1,1,154972.0047,328269.3602,247543.8281,239755.7822,273454.1601
126,960.373,4.42,12135.93827,15784.4897,8670.308817,57334.83327,15705.29054,14865.64221,2418.686388,26067.42289,12883.13537,2491.90231
127,378.1084,2.93,85569.81584,81066.3266,79584.94588,1,89206.20221,1719537.661,1880119.572,1841810.895,2005281.433,2048084.124
128,278.2245,12.28,18156.95408,42018.6011,41921.02072,14341.80659,16123.61534,29995.9036,36115.49934,36077.41243,20104.93332,19651.88486
129,594.2815,11.55,3010983.82,4224240.749,3777615.842,1657298.834,1639724.224,2984197.891,2788364.203,3447229.389,3562392.785,2034004.106
130,1063.7635,5.96,1316208.11,1107960.371,1232253.924,1260904.791,1237249.068,4009919.306,1172268.811,761354.6413,868193.6117,868646.0873
131,601.3965,4.9,2106696.068,2042692.701,2222379.066,2399157.132,2145467.331,4459014.436,2078846.114,1137148.071,1225958.051,1392092.145
132,431.099,3.64,6861.283584,9108.028466,15192.33041,6235.675739,13223.16264,1,1,1275.579394,1,4201.605039
133,266.2241,13.73,141426.0141,402154.0468,500853.099,212193.182,218021.6896,355855.0703,137243.4736,402755.5308,437473.2669,310211.417
134,500.2155,12.66,3299460.345,1983843.172,1853254.297,2360585.733,2868779.393,2723042.841,2835913.362,2499048.957,2349716.996,3399831.333
135,482.2648,13.8,4480453.55,1,1,1520715.161,1960498.435,1,3926156.974,14740.14393,1,1588133.417
136,356.1115,2.9,43574.41477,38568.4531,43993.47561,37409.57904,56193.4055,690204.9999,617851.4794,814082.1885,706615.0992,711430.4833
137,484.2805,14.04,1,1,1,1,1,1,1,3259175.992,2751007.138,1
138,429.1119,3.1,83749.33192,33939.20835,85274.37864,43897.8432,49794.45965,48846.99724,64562.16174,67796.95332,64788.11345,48610.77428
139,978.2145,6.38,1746149.053,1671794.568,2691755.374,1908133.178,2240901.92,2650168.253,3350129.424,2351780.097,2807267.515,2595158.636
140,168.0187,13.05,1,222041.5607,1,175097.0978,1,260472.5541,121760.5236,187424.5731,1,222537.8316
141,914.4693,13.3,1393230.163,1,1,6860664.935,2810258.068,539863.3708,1758241.01,1,1,4732555.861
142,914.4692,13.31,5122833.744,1,1,1,4664147.755,539863.3708,5108349.331,1,1,4732240.423
143,565.4187,4.9,94997.07455,94730.36896,101913.8563,115977.4004,102613.4305,267315.8093,99383.41999,43926.53607,56789.06529,63106.15245
144,493.1122,6.06,3663882.603,1952253.226,3146560.614,1440074.897,1980422.433,2812019.224,3506531.236,2178291.786,3197354.319,2467193.017
145,502.2304,13.7,4938029.266,2418904.353,2728407.808,4141080.808,4152306.813,3750277.756,4336234.702,3353860.955,3043625.863,4318467.16
146,252.209,12.7,133512.4317,345961.1849,339048.9384,164851.5896,172809.3602,273359.6259,132014.6447,347541.1014,383738.8052,236473.3401
147,280.2406,12.58,1,1,1,1,18294.10504,1,1,1,1,1
148,504.2871,19.94,1,1314841.475,1,1,1,1,1,1,1,1
149,280.2396,16.35,83520.00552,232067.0797,221391.3138,80398.5112,1,122008.8712,48488.82564,135229.3414,188804.4817,121389.655
150,282.2556,21.25,147201.1401,98822.43256,93573.84246,504486.967,153316.8172,85929.6442,98922.97834,87114.37703,93512.58916,281438.3814
151,546.1686,13.12,1,2401446.382,1963103.382,1009248.037,1,702540.5539,1,2894088.697,3119595.294,1803862.542
152,905.5805,5.56,1124741.83,1050474.179,1103182.061,1145282.697,1125915.87,3396793.289,1094420.739,485195.349,603947.9151,686782.9436
153,792.496,5.29,1176770.693,1097563.912,1174060.901,1209106.183,1169539.659,3450687.043,1170499.778,537696.1396,607149.2517,701555.2946
154,147.9737,1.02,1012227.892,7630.551141,326404.9204,1092573.77,817113.3259,741437.3955,440999.1409,794227.9888,32507.9236,6784.407137
155,741.4998,5.28,2778002.064,2573700.111,2662839.236,2774679.205,2664063.56,2916634.299,2656345.176,1851733.939,1948870.443,2149841.964
156,531.1807,14.49,1,1,1,1,1,1,1,1,1,1
157,698.2434,2.9,1,1,1,8609.147696,1,522174.2287,427909.7921,562531.2213,538114.0938,553336.8043
158,497.0854,4.13,2675085.809,2394713.273,2158549.163,2698491.003,2220376.594,2361714.169,2454887.023,2522492.212,2192428.855,2533943.077
159,565.3392,12.58,3126925.211,1727661.451,1868228.32,2053108.184,1743240.594,1871046.644,3007028.659,1925714.525,1460602.409,1431875.303
160,422.2637,14.2,2896644.237,1,1,4706409.689,4361168.457,8190910.032,3017017.758,1,1,1400828.096
161,546.0594,4.53,3156202.763,2837179.009,2846850.22,2514418.24,2903920.211,2863099.956,1633672.101,2976554.184,2822149.281,2853424.507
162,460.2581,14.06,2540229.672,1,1,1559844.39,1176488.774,1,3312029.227,1,1,1
163,346.0906,2.8,1056505.908,830969.7108,523350.8314,1983802.255,1429634.037,2916865.878,3176462.215,2528964.088,3577723.607,3743668.039
164,996.6191,12.33,2935597.074,280840.0528,306072.3863,1169828.876,1286932.679,952055.8676,2710559.65,253778.4695,194689.2907,930595.16
165,111.0323,2.35,2318257.395,2120898.087,1881441.998,2176803.238,1856407.338,2597055.576,2608647.278,2676401.409,2319213.934,2712644.454
166,858.2561,6.79,1691242.432,1815317.987,1491248.769,728967.4327,1757517.991,1531993.899,2676443.909,980197.533,1428943.633,1768242.687
167,825.5524,19.5,4123794.65,1,1,3778397.491,4266813.576,891145.9425,4639149.184,1897.979153,1,2950691.003
168,808.2046,3.62,2850071.752,3026272.904,2933461.215,2885552.013,2869327.565,2355625.818,2526009.581,2691462.663,2549952.417,2682222.415
169,460.2595,13.95,1,2595795.077,722496.6348,1,1,1785257.549,1,1619437.675,992978.0773,1682935.926
170,436.259,15.68,2035096.938,432816.7029,674009.0336,2492500.439,1517225.862,2338997.377,2745072.603,2483699.361,2479371.142,3017684.986
171,448.101,5.97,1775234.872,1168256.4,1270256.9,2491987.85,1858050.276,1286659.004,1967414.383,2492891.583,2131858.002,2039919.803
172,628.4154,4.9,1872201.941,1691738.182,1839364.49,2142714.729,1900960.976,3105703.001,1801493.633,999812.8443,1086844.208,1245265.948
173,880.4857,13.69,1250506.151,2124265.679,1910084.854,1896668.751,1432887.754,2540499.99,1016035.854,2770518.619,2874704.659,2904327.446
174,552.1853,3.85,2685526.782,3037714.181,2768955.886,2489530.533,2511812.106,2138027.772,2134530.937,2117858.881,2255840.217,2431588.287
175,445.1445,7.34,2329810.906,1135945.066,1593803.465,1231856.068,1689957.556,1552587.536,2248777.736,1293291.578,1589112.112,1475425.74
176,154.0038,11.53,8105.941943,6343.085279,11265.21056,6850.064877,4472.639439,1,5207.537849,2397.745125,23545.09628,10757.46491
177,477.2862,12.53,1538223.369,721019.5303,513217.4851,1789170.508,1843378.03,1279445.333,2329468.703,1019323.908,832486.338,1656618.526
178,823.5377,18.15,3864149.559,35161.05548,757.6137338,2051323.29,2569578.537,1145580.273,3928608.401,5925.560424,1,1738271.462
179,1060.2288,4.46,2535600.346,1907793.648,1971207.553,1668508.745,2171067.774,2020373.206,2557163.978,1678026.444,1831607.196,2461264.839
180,925.5416,13.2,2110152.231,644067.8739,698053.4581,1106974.179,1355727.444,1268917.972,2664353.056,589446.7553,409628.9756,1585585.889
181,519.2603,11.53,2267296.87,2499442.989,2355360.538,1297089.713,1216841.387,2301381.955,2210686.586,2094915.272,2621941.242,1467520.675
182,464.0959,3.97,1,1,1,1,1,1,1,1,1,1
183,870.5008,14.21,5048.110886,2789560.928,2983595.671,9393.971736,1,2470684.102,1,1,1,1
184,256.2405,19.96,1,382015.4211,354606.545,1,1,6772.813888,1,1,1,1
185,854.5856,5.55,2152179.989,1983380.874,2008354.871,2067842.056,2040024.089,1707771.914,2025590.647,1444235.697,1477891.7,1681995.247
186,858.2588,5.23,2151165.737,2267740.843,2183940.573,2150201.474,2221701.48,1867920.191,2276743.959,2235797.776,2463742.768,2287027.941
187,335.1006,7.69,819831.179,1401620.585,1164023.718,1191041.214,1335280.734,1405805.845,891342.8923,1693827.98,1473427.888,1411889.237
188,550.1907,2.53,16089.50861,24007.16267,19963.87197,18831.04996,15156.35889,1259783.258,952818.8444,1447248.286,1238082.973,1342141.101
189,390.1311,6.79,216802.6261,256925.0091,209733.4499,144385.9227,249810.7852,222705.6676,214368.1468,184870.1732,205630.1823,273523.7004
190,192.0276,1.24,1394117.39,130208.971,436446.1123,1404311.322,577876.4827,2121711.587,1769997.239,2747707.014,2609981.068,998845.1058
191,173.1057,4.05,2354588.284,2744151.106,2335685.954,2170253.423,2878195.86,2503843.633,2355502.886,2592050.434,2375721.584,2494627.615
192,820.5345,19.26,1944318.431,1471580.168,1257149.498,1913401.23,2195834.791,730271.7759,1894667.086,1414490.577,1320004.656,2810323.431
193,502.2306,13.7,4941097.196,2417209.153,2729179.534,4989482.948,4153631.51,3740210.668,4341038.546,3354936.537,3083628.075,4454680.667
194,518.2617,21.17,1,282196.5127,126046.2398,1448866.325,1896652.438,503902.7717,1628545.446,1293865.487,500332.5055,999793.4079
195,162.9766,2.25,1503521.558,1008982.66,1015556.954,1179640.47,996074.3678,1291738.876,1317496.067,1182332.545,1320212.052,1270055.189
196,552.185,7.08,1959590.855,1909805.258,1667423.296,948327.9438,2451322.027,1573972.452,1716567.487,1702394.504,1566920.522,2127018.979
197,992.5879,11.61,2486795.159,133783.4847,139799.8282,762119.6458,786666.6608,618392.1063,2236788.292,133462.4381,105832.7198,550771.9361
198,278.1304,3.67,829601.3644,722163.5255,690719.6093,769008.4891,766637.0957,813888.329,887124.8311,950286.8849,987257.6117,995420.3145
199,402.1164,2.9,28694.04593,30118.5813,39579.06782,26334.27982,35413.97704,588385.5927,498970.9597,686943.2285,581866.7948,615251.6141
200,967.5901,13.24,2148709.98,313394.0054,394171.4388,1002534.307,1279260.698,1120761.554,2486054.397,506418.5667,408412.7913,1265402.251
201,740.2541,4.26,186768.473,113974.2529,118851.4261,87084.80808,134381.9206,100126.991,121050.8828,134074.2941,193811.5528,131192.9561
202,112.9366,6.85,1047621.429,1094485.317,924168.5523,1438185.891,1216267.456,1236455.674,1078014.689,1458140.463,1344160.261,1434486.796
203,333.1122,7.58,719810.1294,1709029.319,1039326.029,2476239.571,1732437.478,1134365.389,1023695.401,1720068.003,1251776.428,1547279.896
204,979.5527,13.27,2462084.176,523770.253,499489.2565,1131801.576,929229.3591,818751.5819,2212501.125,332832.8935,249766.3779,721578.9251
205,490.2307,14.08,1630088.976,1794902.647,1791791.291,1482348.78,2033099.173,2071257.598,1854804.82,1,1,1846681.342
206,396.164,2.82,955689.3396,1077381.202,739591.5728,1027042.493,1241425.249,1569622.176,1741024.565,1246334.971,1662156.243,1823891.565
207,561.0993,3.11,2303697.916,1681730.536,2277531.15,1466037.425,1670088.396,1817951.877,2131444.769,1738235.527,2009397.17,1886912.821
208,662.1455,4.36,1358002.688,1882579.84,1961025.223,1888898.339,1859092.758,1573440.716,1017528.781,1707235.067,1676395.782,1678545.136
209,716.4797,5.28,1452818.78,1368339.394,1401070.212,1428619.728,1383647.56,2536456.384,1530141.841,943197.272,1030634.643,1115724.146
210,594.1591,3.8,1300270.738,1379090.37,1179422.758,1007622.634,1255814.328,1064446.288,1172751.827,1089266.746,1032054.916,1241005.776
211,940.6493,5.78,1701841.59,1462686.678,1641728.641,1616368.331,1566290.594,3459218.521,1704362.521,1135263.07,1249438.991,1227760.6
212,154.0033,15.67,1,1,1076.300059,1,1489.745633,32292.01666,9762.89932,46807.00808,8490.516829,80490.83441
213,363.0129,12.53,768770.3887,920981.4774,1346437.617,1547518.11,1188897.967,1431661.439,721239.9915,1515006.62,2019072.931,2477488.076
214,479.3011,13.2,2300944.865,340101.5868,390510.3518,618285.474,919960.4221,739517.2649,2238416.583,316707.4125,221512.8409,930877.2055
215,422.1728,3.67,1685245.918,1547786.173,1511490.302,1589990.041,1574657.547,1762993.665,1854184.156,1971283.921,2070267.76,2079660.176
216,558.5312,13.1,1,1,1,1,128190.8751,1,1,1,1,200021.8523
217,328.1296,3.81,2346207.854,1937182.988,2014231.529,2389775.516,1910251.105,1942317.85,2357111.75,1891179.086,1774924.324,2050909.335
218,1072.2288,4.4,1889366.026,609257.4903,792140.2627,484806.7148,661022.0858,1140132.43,2231150.136,974607.3753,1167035.936,1088205.573
219,533.3114,13.27,2268892.039,403134.7361,369222.1819,819419.1383,657054.9097,615982.9569,1958561.282,260027.8487,175268.9266,527801.7545
220,982.5873,17.94,1661246.927,1457242.811,1245430.759,1706727.449,1953519.738,771603.8757,1640375.131,1334337.629,1290581.793,2307178.191
221,180.0633,5.07,367869.0393,406068.9892,353910.9241,195422.997,440262.2656,492012.1697,468754.2895,426165.0376,451142.2662,551449.3058
222,135.9018,21.37,496843.6031,628178.4386,1205456.981,1082007.636,1275937.93,1286515.546,1256237.772,557254.4937,1255502.23,1298706.658
